Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,p-o-1-z-7,b-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-z-5,p-o-2-z-6,b-o-2-z-7,b-o-2-z-8,b-o-3-z-1,b-o-3-e-2,p-o-3-e-3,p-o-3-p-4,p-o-3-e-5,b-f-3-z-6,p-f-3-z-7,p-o-3-e-8,b-o-3-z-9,p-o-4-z-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-f-4-z-8,b-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-z-3,p-o-5-e-4,p-f-5-z-5,b-f-5-z-6,b-f-5-z-7,b-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-f-6-z-4,p-o-6-z-5,p-o-6-p-6,p-o-6-p-7,b-f-6-z-8,b-f-6-z-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-7,p-o-8-z-1,b-f-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5
ac21x-77,95,92,100,65,85,79,60,90,70,60,60,65,75,60,60,60,60,60,60,65,60,60,80,75,60,76,60,60,60,65,60,60,75,60,60,60,60,60,60,75,60,60,60,70,60,60,60,60,70,60,60,70,60,60,65,75,70,60,60,74,70,67,70
ac21x-78,100,77,81,75,80,90,85,80,100,75,75,90,95,100,94,90,60,100,70,60,73,85,60,80,90,60,64,75,60,96,75,60,75,90,90,95,100,75,70,80,68,100,62,95,80,100,100,75,85,90,60,75,64,94,90,90,91,100,98,76,95,82,100
ac21x-79,100,100,91,80,97,100,98,90,100,83,100,96,100,100,95,90,100,90,100,100,100,100,90,100,95,100,98,100,87,100,100,100,95,90,98,100,100,100,100,98,100,80,100,100,100,100,100,90,90,100,90,90,93,93,100,100,100,100,95,90,95,90,100
ac21x-80,70,65,70,60,82,75,60,80,90,60,60,72,80,60,91,90,60,80,80,70,82,70,60,77,95,83,74,75,62,93,80,65,60,90,82,100,85,62,75,81,75,75,65,75,85,100,100,95,90,90,60,76,66,75,65,92,80,100,83,72,70,81,60
ac21x-81,67,75,79,60,65,75,60,90,72,60,70,88,85,81,90,90,60,70,60,60,60,70,60,92,95,70,60,70,60,76,75,65,60,90,60,60,65,60,60,65,75,75,60,75,60,100,100,65,70,75,60,60,60,65,60,75,60,65,60,72,70,61,75
ac21x-82,92,80,88,70,75,75,79,90,65,75,75,66,75,87,86,90,60,60,72,85,66,95,60,83,93,60,64,75,65,94,75,85,68,90,69,85,80,60,65,62,60,90,75,75,80,75,100,65,75,60,60,63,60,67,60,60,80,82,83,72,77,60,100
ac21x-83,100,82,93,70,90,100,92,100,100,80,100,92,80,88,100,90,60,75,60,70,60,75,90,96,60,65,60,70,75,70,60,60,70,90,60,60,65,60,60,60,75,70,60,60,80,60,60,65,75,60,60,63,60,60,60,75,65,65,60,70,70,70,80
ac21x-84,67,68,70,60,65,65,60,75,78,75,67,60,75,82,83,90,60,80,71,60,71,65,60,60,95,60,65,70,60,90,65,65,65,90,60,85,100,70,60,78,85,100,60,60,60,65,100,60,70,60,60,70,60,67,65,65,65,60,70,70,70,65,75
ac21x-86,67,60,80,65,72,75,64,75,60,65,60,65,60,60,63,90,69,60,60,60,60,75,60,60,60,60,60,60,60,65,60,65,70,90,65,60,70,60,65,60,75,60,65,60,60,60,65,70,80,65,90,65,60,65,60,65,70,65,70,60,70,61,75
ac21x-87,100,87,81,75,88,100,92,100,100,70,95,95,90,100,96,90,60,60,65,60,60,80,80,60,90,81,90,65,67,97,85,60,78,90,88,100,100,100,85,90,100,100,60,60,60,60,65,75,85,70,90,65,60,65,60,65,65,60,70,74,70,65,100
ac21x-88,85,83,79,65,78,100,73,100,92,65,70,75,85,72,93,90,60,90,74,80,78,90,90,95,93,60,66,60,70,96,60,65,75,100,60,95,85,65,60,85,62,60,60,80,80,95,100,75,75,100,90,75,60,75,70,80,86,86,75,70,95,85,100
ac21x-89,100,96,96,80,91,100,92,80,95,95,96,90,97,99,97,90,60,80,74,85,67,93,93,98,95,77,78,60,60,92,85,85,77,90,70,95,100,61,66,85,75,90,60,100,95,90,60,60,100,75,60,64,60,65,65,65,65,60,65,70,70,63,90
ac21x-90,100,84,84,80,88,90,91,100,90,75,80,75,97,100,100,90,60,100,78,70,60,60,60,89,95,60,60,60,60,60,60,90,60,90,61,70,65,60,60,82,60,75,60,65,60,60,60,65,75,70,60,70,60,67,60,95,65,60,65,62,90,70,80
