Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-p-5,p-o-2-z-6,p-o-2-z-7,p-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-f-3-e-4,b-o-3-z-5,b-f-3-z-6,p-o-3-z-7,b-o-3-z-8,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-o-4-z-8,b-f-4-z-9,p-f-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-z-4,b-f-5-z-5,p-f-5-z-6,b-f-5-z-7,b-o-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-o-6-p-4,p-f-6-z-5,b-o-6-z-6,b-f-6-z-7,p-o-6-p-8,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-8,p-o-8-e-1,b-o-8-e-2,p-o-8-e-3,p-f-8-z-4,p-f-8-z-5
ac20x-33,95,93,95,85,85.0,81,93,88,90.0,75,80.0,75,70.0,66,76,75,80,100.0,85,82.0,70.0,80,80,90,90,60.0,68,96,83,70,75,95,90,100.0,90,82.0,95.0,99.0,95,100,85.0,90.0,71.0,75.0,70.0,90.0,91.0,90.0,95.0,75.0,80.0,70.0,83.0,96.0,91.0,90.0,100.0,80.0,100.0,90.0,91.0,95.0
ac20x-34,95,100,100,75,88.0,91,90,88,100.0,75,85.0,90,95.0,90,95,82,85,90.0,90,80.0,70.0,75,70,100,60,60.0,75,65,92,82,85,80,90,66.0,90,84.0,100.0,99.0,90,100,100.0,60.0,82.0,100.0,99.0,84.0,91.0,85.0,85.0,100.0,100.0,81.0,84.0,94.0,94.0,95.0,100.0,95.0,80.0,90.0,94.0,100.0
ac20x-35,90,100,100,95,90.0,100,95,100,98.0,75,90.0,96,97.0,98,95,87,85,95.0,88,75.0,87.0,60,75,70,85,60.0,60,60,78,90,98,75,90,75.0,95,97.0,100.0,100.0,100,100,90.0,90.0,86.0,95.0,100.0,100.0,100.0,90.0,100.0,100.0,95.0,97.0,90.0,98.0,100.0,98.0,100.0,80.0,90.0,100.0,83.0,100.0
ac20x-36,100,99,100,90,88.0,94,90,91,100.0,85,80.0,78,82.0,90,63,85,90,100.0,87,94.0,80.0,80,100,100,90,80.0,70,80,88,90,80,100,90,100.0,95,68.0,100.0,90.0,85,80,100.0,90.0,83.0,75.0,65.0,90.0,91.0,90.0,95.0,100.0,95.0,86.0,76.0,96.0,94.0,90.0,100.0,100.0,100.0,90.0,96.0,95.0
ac20x-37,80,100,100,90,93.0,100,90,95,95.0,60,80.0,92,96.0,81,75,83,90,90.0,85,95.0,80.0,60,70,90,90,75.0,94,80,90,85,85,98,90,75.0,100,82.0,100.0,98.0,95,90,74.0,90.0,60.0,70.0,90.0,90.0,100.0,90.0,90.0,90.0,65.0,96.0,65.0,90.0,65.0,67.0,73.0,90.0,100.0,100.0,88.0,70.0
ac20x-38,100,100,100,100,90.0,100,95,100,100.0,100,95.0,100,100.0,99,100,98,90,100.0,100,100.0,100.0,100,100,100,100,100.0,100,100,100,100,100,100,100,100.0,100,100.0,100.0,100.0,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,97.0,96.0,100.0,97.0,100.0,100.0,100.0,95.0,100.0,100.0
ac20x-39,85,100,100,90,90.0,92,90,94,95.0,85,90.0,95,95.0,94,99,87,95,100.0,93,95.0,93.0,80,100,100,95,75.0,93,100,93,90,90,100,90,95.0,95,100.0,100.0,100.0,100,100,96.0,90.0,86.0,95.0,100.0,90.0,100.0,90.0,95.0,100.0,90.0,94.0,79.0,96.0,89.0,81.0,100.0,95.0,90.0,100.0,85.0,97.0
ac20x-40,80,75,95,60,63.0,60,60,71,65.0,60,60.0,60,60.0,60,60,60,75,60.0,75,75.0,60.0,60,60,65,75,60.0,65,60,60,70,65,60,60,60.0,60,60.0,60.0,65.0,65,60,65.0,60.0,60.0,70.0,60.0,65.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,70.0,70.0,60.0,60.0,60.0,70.0,70.0,60.0,80.0
ac20x-41,90,81,80,75,85.0,85,60,84,75.0,60,65.0,71,98.0,64,71,76,85,80.0,75,60.0,80.0,60,63,90,60,60.0,60,60,60,65,60,60,60,75.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,65.0,60.0,65.0,60.0,90.0,60.0,70.0,70.0,60.0,60.0,60.0,75.0,60.0,60.0,66.0,70.0,76.0,60.0,70.0
ac20x-42,95,99,100,100,90.0,100,96,95,100.0,98,95.0,100,100.0,95,100,100,96,100.0,98,100.0,100.0,100,100,100,75,100.0,97,100,100,100,90,100,90,100.0,100,100.0,100.0,100.0,100,100,100.0,90.0,85.0,100.0,100.0,90.0,100.0,90.0,100.0,100.0,100.0,97.0,90.0,100.0,100.0,98.0,100.0,100.0,84.0,100.0,100.0,90.0
ac20x-43,75,86,95,60,73.0,81,90,72,70.0,60,60.0,60,60.0,60,60,60,75,65.0,60,60.0,60.0,60,60,60,60,60.0,60,60,88,60,60,60,60,60.0,60,60.0,60.0,60.0,70,70,60.0,60.0,63.0,65.0,60.0,90.0,60.0,60.0,60.0,60.0,60.0,78.0,73.0,60.0,70.0,75.0,70.0,90.0,90.0,100.0,97.0,70.0
ac20x-44,90,95,100,75,90.0,87,90,88,90.0,70,95.0,71,95.0,72,75,73,95,70.0,75,60.0,60.0,60,65,60,60,60.0,60,70,80,85,60,80,60,75.0,60,60.0,60.0,60.0,60,60,60.0,60.0,60.0,80.0,65.0,80.0,60.0,60.0,60.0,80.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,70.0,70.0,75.0,80.0
ac20x-45,95,100,95,75,100.0,93,91,82,100.0,95,96.0,100,100.0,98,100,98,100,100.0,100,100.0,98.0,95,100,90,90,60.0,88,65,95,95,75,75,90,90.0,60,60.0,60.0,60.0,75,60,80.0,90.0,60.0,65.0,60.0,60.0,60.0,90.0,60.0,75.0,60.0,60.0,60.0,75.0,65.0,60.0,60.0,67.0,70.0,75.0,61.0,65.0
ac20x-46,75,60,75,65,65.0,70,90,76,75.0,65,65.0,60,95.0,70,60,75,75,70.0,75,60.0,60.0,60,75,60,60,60.0,60,60,65,60,60,60,70,60.0,60,60.0,60.0,60.0,75,75,75.0,60.0,60.0,65.0,60.0,60.0,60.0,60.0,60.0,75.0,64.0,60.0,60.0,65.0,75.0,60.0,60.0,66.0,70.0,66.0,60.0,75.0
ac20x-47,80,94,90,65,85.0,90,91,94,95.0,60,65.0,72,90.0,95,80,87,91,90.0,87,75.0,80.0,60,65,90,60,60.0,60,60,90,87,60,60,90,60.0,60,60.0,60.0,60.0,70,70,60.0,90.0,60.0,65.0,60.0,60.0,60.0,90.0,60.0,70.0,70.0,60.0,60.0,60.0,75.0,65.0,60.0,70.0,70.0,76.0,75.0,75.0
ac20x-48,75,60,100,65,64.0,70,96,79,70.0,65,60.0,60,92.0,70,60,60,75,100.0,75,75.0,60.0,75,60,60,80,60.0,75,60,75,75,75,60,90,75.0,60,60.0,60.0,65.0,75,60,70.0,60.0,60.0,65.0,60.0,60.0,60.0,60.0,60.0,60.0,64.0,60.0,60.0,60.0,75.0,65.0,60.0,60.0,70.0,70.0,60.0,75.0
ac20x-49,95,100,100,80,100.0,95,80,97,100.0,75,65.0,78,95.0,90,71,79,90,100.0,90,85.0,85.0,95,100,90,90,60.0,80,85,96,95,60,90,90,80.0,80,98.0,100.0,95.0,90,100,75.0,90.0,78.0,75.0,94.0,90.0,86.0,90.0,90.0,100.0,90.0,90.0,80.0,93.0,93.0,95.0,100.0,98.0,60.0,100.0,90.0,85.0
ac20x-50,95,92,90,65,85.0,70,67,74,80.0,60,60.0,60,65.0,60,60,70,67,75.0,75,60.0,60.0,60,60,100,70,60.0,60,60,61,60,60,60,60,60.0,60,62.0,60.0,65.0,75,60,60.0,70.0,60.0,75.0,60.0,65.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,72.0,65.0,63.0,65.0
ac20x-51,80,90,85,65,78.0,65,80,69,75.0,60,80.0,60,90.0,62,60,67,75,75.0,75,60.0,74.0,60,60,60,60,67.0,72,70,78,76,60,70,70,67.0,60,67.0,95.0,98.0,80,95,67.0,60.0,60.0,65.0,60.0,60.0,60.0,90.0,75.0,75.0,65.0,60.0,60.0,60.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,75.0
ac20x-52,90,66,85,67,75.0,73,60,79,80.0,60,60.0,60,75.0,65,60,75,60,70.0,60,65.0,60.0,65,60,75,60,60.0,75,60,60,60,75,60,60,60.0,60,60.0,60.0,60.0,75,60,60.0,60.0,60.0,65.0,60.0,60.0,60.0,75.0,60.0,70.0,70.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,60.0,60.0,60.0,60.0
ac20x-53,90,100,95,75,95.0,100,90,100,100.0,95,95.0,91,100.0,96,100,92,85,100.0,92,98.0,86.0,90,100,90,90,60.0,100,90,93,100,97,95,90,60.0,90,98.0,100.0,100.0,100,100,100.0,90.0,100.0,100.0,100.0,60.0,96.0,90.0,100.0,100.0,100.0,83.0,72.0,84.0,88.0,100.0,100.0,95.0,60.0,100.0,100.0,100.0
ac20x-54,90,99,100,90,97.0,100,100,94,98.0,95,95.0,95,100.0,91,100,92,100,100.0,90,98.0,92.0,95,90,90,90,75.0,100,100,93,95,75,100,90,100.0,85,70.0,100.0,75.0,85,100,70.0,90.0,75.0,75.0,75.0,90.0,86.0,90.0,60.0,90.0,75.0,60.0,60.0,60.0,75.0,65.0,65.0,70.0,60.0,90.0,64.0,75.0
